#options: 320x220 fps=359/12 timebase=12/359 bitdepth=8cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=31 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:98 out:99 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:105 out:104 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:107 out:106 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:113 out:112 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:115 out:114 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:121 out:120 type:P dur:2 cpbdur:2 q:33.19 tex:10009 mv:117 misc:226 imb:6 pmb:72 smb:202 d:- ref:0 w:5,31,0
;
in:120 out:121 type:b dur:2 cpbdur:2 q:37.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:29.25 tex:8358 mv:96 misc:226 imb:3 pmb:68 smb:209 d:- ref:0 w:7,111,2
;
in:123 out:123 type:B dur:2 cpbdur:2 q:31.22 tex:0 mv:10 misc:118 imb:0 pmb:1 smb:279 d:s ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:32.21 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:30.23 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:29.27 tex:558 mv:27 misc:231 imb:0 pmb:16 smb:264 d:s ref:0 w:7,107,3
;
in:127 out:127 type:B dur:2 cpbdur:2 q:29.26 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:29.25 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:29.27 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:29.04 tex:61 mv:4 misc:167 imb:0 pmb:2 smb:278 d:- ref:0 w:7,103,3
;
in:131 out:131 type:B dur:2 cpbdur:2 q:29.16 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:29.22 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:29.10 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:28.80 tex:113 mv:22 misc:201 imb:0 pmb:7 smb:273 d:- ref:0 w:7,101,3
;
in:135 out:135 type:B dur:2 cpbdur:2 q:28.92 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:28.98 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:28.86 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:28.57 tex:1169 mv:97 misc:270 imb:1 pmb:41 smb:238 d:- ref:0 w:6,47,4
;
in:139 out:139 type:B dur:2 cpbdur:2 q:28.68 tex:1 mv:16 misc:127 imb:0 pmb:2 smb:278 d:s ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:28.74 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:28.62 tex:0 mv:0 misc:96 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:28.38 tex:1238 mv:223 misc:259 imb:2 pmb:48 smb:230 d:s ref:0 w:7,73,7
;
in:143 out:143 type:B dur:2 cpbdur:2 q:28.47 tex:211 mv:41 misc:164 imb:0 pmb:9 smb:271 d:s ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:28.52 tex:0 mv:12 misc:116 imb:0 pmb:2 smb:278 d:s ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:28.42 tex:56 mv:99 misc:181 imb:0 pmb:17 smb:263 d:- ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:28.21 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:280 d:s ref:0 w:7,1,16
;
in:147 out:147 type:B dur:2 cpbdur:2 q:28.29 tex:691 mv:135 misc:214 imb:0 pmb:26 smb:254 d:s ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:28.34 tex:201 mv:227 misc:188 imb:1 pmb:20 smb:259 d:s ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:28.25 tex:969 mv:273 misc:190 imb:13 pmb:39 smb:228 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:28.07 tex:109 mv:86 misc:157 imb:17 pmb:0 smb:263 d:s ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:28.03 tex:1490 mv:636 misc:266 imb:203 pmb:12 smb:65 d:s ref:0 w:3,45,-70
;
in:152 out:152 type:P dur:2 cpbdur:2 q:28.03 tex:3376 mv:1095 misc:249 imb:181 pmb:70 smb:29 d:s ref:0 w:6,105,-8
;
in:154 out:153 type:P dur:2 cpbdur:2 q:28.11 tex:3912 mv:1403 misc:237 imb:186 pmb:83 smb:11 d:s ref:0 w:2,7,-10,6,98,-68,64,0
;
in:153 out:154 type:b dur:2 cpbdur:2 q:28.07 tex:2436 mv:1879 misc:317 imb:122 pmb:76 smb:82 d:s ref:0 ;
in:155 out:155 type:P dur:2 cpbdur:2 q:28.27 tex:4052 mv:1562 misc:274 imb:166 pmb:71 smb:43 d:s ref:0 w:6,71,0
;
in:156 out:156 type:P dur:2 cpbdur:2 q:28.54 tex:5136 mv:1820 misc:252 imb:158 pmb:103 smb:19 d:s ref:0 w:5,33,3,6,81,-34,64,0
;
in:157 out:157 type:P dur:2 cpbdur:2 q:29.42 tex:4402 mv:1854 misc:248 imb:165 pmb:98 smb:17 d:s ref:0 w:0,1,3,6,72,-16,64,0
;
in:158 out:158 type:I dur:2 cpbdur:2 q:27.56 tex:9227 mv:2598 misc:95 imb:280 pmb:0 smb:0 d:s ref:w:0,1,3,6,72,-16,64,0
;
in:159 out:159 type:P dur:2 cpbdur:2 q:31.42 tex:3387 mv:1645 misc:312 imb:124 pmb:102 smb:54 d:s ref:0 w:6,71,-1
;
in:163 out:160 type:P dur:2 cpbdur:2 q:31.95 tex:4661 mv:1411 misc:368 imb:90 pmb:139 smb:51 d:s ref:0 w:5,45,-5,6,85,-42,95,-62
;
in:161 out:161 type:B dur:2 cpbdur:2 q:31.69 tex:1060 mv:454 misc:342 imb:24 pmb:98 smb:158 d:t ref:0 ;
in:160 out:162 type:b dur:2 cpbdur:2 q:31.56 tex:742 mv:624 misc:338 imb:28 pmb:73 smb:179 d:s ref:0 ;
in:162 out:163 type:b dur:2 cpbdur:2 q:31.82 tex:795 mv:581 misc:336 imb:20 pmb:74 smb:186 d:- ref:0 ;
in:167 out:164 type:P dur:2 cpbdur:2 q:32.81 tex:4482 mv:1133 misc:417 imb:85 pmb:114 smb:81 d:s ref:0 w:6,83,-4,6,81,-34,85,-42
;
in:165 out:165 type:B dur:2 cpbdur:2 q:32.38 tex:1244 mv:599 misc:365 imb:25 pmb:70 smb:185 d:t ref:0 ;
in:164 out:166 type:b dur:2 cpbdur:2 q:32.16 tex:734 mv:516 misc:310 imb:17 pmb:63 smb:200 d:s ref:0 ;
in:166 out:167 type:b dur:2 cpbdur:2 q:32.59 tex:595 mv:301 misc:304 imb:10 pmb:51 smb:219 d:- ref:0 ;
in:169 out:168 type:P dur:2 cpbdur:2 q:33.55 tex:2678 mv:810 misc:424 imb:50 pmb:116 smb:114 d:s ref:0 w:5,35,0,6,69,-10,64,0
;
